mono_0000000000, 434, 1204
mono_0000000001, 434, 1204
mono_0000000002, 434, 1204
mono_0000000003, 434, 1204
mono_0000000004, 434, 1289
mono_0000000005, 330, 1289
mono_0000000006, 330, 1289
mono_0000000007, 427, 1289
mono_0000000008, 370, 1059
mono_0000000009, 370, 1052
mono_0000000010, 293, 1165
mono_0000000011, 338, 1385
mono_0000000012, 338, 1177
mono_0000000013, 303, 1147
mono_0000000014, 466, 1147
mono_0000000015, 390, 1104
mono_0000000016, 413, 1104
mono_0000000017, 449, 1272
mono_0000000018, 379, 1187
mono_0000000019, 332, 1138
mono_0000000020, 332, 1161
mono_0000000021, 461, 1211
mono_0000000022, 461, 1192
mono_0000000023, 393, 1288
mono_0000000024, 393, 1257
mono_0000000025, 478, 1257
mono_0000000026, 377, 1257
mono_0000000027, 495, 1257
mono_0000000028, 495, 1257
mono_0000000029, 408, 1257
mono_0000000030, 442, 1257
mono_0000000031, 406, 1257
mono_0000000032, 388, 1257
mono_0000000033, 301, 1257
mono_0000000034, 453, 1257
mono_0000000035, 419, 1257
mono_0000000036, 448, 840
mono_0000000037, 428, 859
mono_0000000038, 317, 895
mono_0000000039, 455, 847
mono_0000000040, 362, 957
mono_0000000041, 403, 957
mono_0000000042, 403, 957
mono_0000000043, 396, 957
mono_0000000044, 320, 957
mono_0000000045, 237, 957
mono_0000000046, 421, 957
mono_0000000047, 409, 957
mono_0000000048, 387, 1241
mono_0000000049, 443, 1311
mono_0000000050, 377, 1103
mono_0000000051, 377, 1224
mono_0000000052, 434, 1229
mono_0000000053, 242, 1093
mono_0000000054, 346, 1075
mono_0000000055, 430, 1069
mono_0000000056, 366, 1123
mono_0000000057, 281, 1109
mono_0000000058, 350, 1189
mono_0000000059, 228, 1058
mono_0000000060, 435, 1063
mono_0000000061, 417, 1051
mono_0000000062, 332, 1195
mono_0000000063, 384, 985
mono_0000000064, 373, 1007
mono_0000000065, 443, 966
mono_0000000066, 428, 968
mono_0000000067, 399, 1063
mono_0000000068, 416, 972
mono_0000000069, 431, 1040
mono_0000000070, 387, 929
mono_0000000071, 369, 929
mono_0000000072, 344, 928
mono_0000000073, 349, 958
mono_0000000074, 346, 999
mono_0000000075, 414, 957
mono_0000000076, 410, 1045
mono_0000000077, 384, 1141
mono_0000000078, 377, 1123
mono_0000000079, 392, 936
mono_0000000080, 409, 952
mono_0000000081, 436, 934
mono_0000000082, 438, 1002
mono_0000000083, 395, 972
mono_0000000084, 398, 1024
mono_0000000085, 426, 1054
mono_0000000086, 358, 1122
mono_0000000087, 380, 1122
mono_0000000088, 441, 1122
mono_0000000089, 307, 1122
mono_0000000090, 388, 1122
mono_0000000091, 335, 1122
mono_0000000092, 381, 1139
mono_0000000093, 437, 1139
mono_0000000094, 414, 1139
mono_0000000095, 420, 1139
mono_0000000096, 378, 930
mono_0000000097, 302, 935
mono_0000000098, 401, 955
mono_0000000099, 409, 948
mono_0000000100, 345, 1058
mono_0000000101, 348, 1007
mono_0000000102, 373, 926
mono_0000000103, 427, 949
mono_0000000104, 421, 959
mono_0000000105, 366, 928
mono_0000000106, 381, 944
mono_0000000107, 418, 963
mono_0000000108, 349, 994
mono_0000000109, 356, 987
mono_0000000110, 354, 1032
mono_0000000111, 401, 936
mono_0000000112, 411, 943
mono_0000000113, 394, 939
mono_0000000114, 418, 945
mono_0000000115, 381, 1054
mono_0000000116, 411, 952
mono_0000000117, 410, 1064
mono_0000000118, 413, 1048
mono_0000000119, 455, 1022
mono_0000000120, 445, 1035
mono_0000000121, 370, 1023
mono_0000000122, 332, 979
mono_0000000123, 273, 964
mono_0000000124, 273, 964
mono_0000000125, 317, 1004
mono_0000000126, 219, 1010
mono_0000000127, 219, 1180
mono_0000000128, 219, 1001
mono_0000000129, 219, 1089
mono_0000000130, 219, 1302
mono_0000000131, 219, 1302
mono_0000000132, 219, 1302
mono_0000000133, 219, 1302
mono_0000000134, 219, 1302
mono_0000000135, 219, 1302
mono_0000000136, 219, 1302
mono_0000000137, 219, 1302
mono_0000000138, 219, 1302
mono_0000000139, 219, 1302
mono_0000000140, 219, 1302
mono_0000000141, 219, 1302
mono_0000000142, 219, 1302
mono_0000000143, 219, 1302
mono_0000000144, 219, 1302
mono_0000000145, 219, 1302
mono_0000000146, 219, 1302
mono_0000000147, 219, 1302
mono_0000000148, 219, 1302
mono_0000000149, 219, 1302
mono_0000000150, 219, 1302
mono_0000000151, 219, 1302
mono_0000000152, 219, 1302
mono_0000000153, 219, 1302
mono_0000000154, 219, 1302
mono_0000000155, 219, 1302
mono_0000000156, 219, 1302
mono_0000000157, 219, 1302
mono_0000000158, 219, 1302
mono_0000000159, 219, 1302
mono_0000000160, 219, 1302
mono_0000000161, 219, 1302
mono_0000000162, 219, 1302
mono_0000000163, 219, 1302
mono_0000000164, 219, 1302
mono_0000000165, 219, 1302
mono_0000000166, 219, 1302
mono_0000000167, 219, 1302
mono_0000000168, 303, 1302
mono_0000000169, 370, 1302
mono_0000000170, 134, 1302
mono_0000000171, 350, 1302
mono_0000000172, 255, 1302
mono_0000000173, 255, 1302
mono_0000000174, 371, 1302
mono_0000000175, 370, 1302
mono_0000000176, 370, 1302
mono_0000000177, 479, 1302
mono_0000000178, 479, 1077
mono_0000000179, 475, 1077
mono_0000000180, 518, 1113
mono_0000000181, 344, 1113
mono_0000000182, 501, 1141
mono_0000000183, 487, 1240
mono_0000000184, 424, 1240
